Codigo,Descricao
1,BARRO DURO
2,BEBEDOURO
3,BENEDITO BENTES I
4,BENEDITO BENTES II
5,CAMBONA
6,CENTRO
7,CLIMA BOM
8,CRUZ DAS ALMAS
9,FAROL
10,FEITOSA
11,FERNÃO VELHO
12,GRUTA DE LOURDES
13,JACARECICA
14,JACINTINHO
15,JATIÚCA
17,PAJUÇARA
18,PITANGUINHA
19,POÇO
20,PONTA VERDE
22,PRADO
23,RIACHO DOCE
24,RIO NOVO
25,SANTA AMÉLIA
26,SANTA LUCIA
27,SANTO AMARO
28,SERRARIA
29,TABULEIRO DOS MARTINS
30,TRAPICHE DA BARRA
31,VERGEL DO LAGO
32,VILA SAEM
33,JOSÉ TENORIO
34,ESTAQUIO GOMES
37,CLIMA BOM II
38,VILLAGE CAMPESTRE
39,SANTO ANTÔNIO
40,MANGABEIRAS
42,JARAGUÁ
44,VARADOURO
45,TABULEIRO DO PINTO
46,LEVADA
48,PONTA DA TERRA
49,PONTAL DA BARRA
50,SÃO CRISTOVÃO
51,SALGADO FILHO
53,BELÉM
54,BOM PARTO
55,POÇO
56,CACHOEIRINHA
57,SUL  SANTOS DUMONT
58,GUSTAVO PAIVA
59,DOMINGOS ACACIO
60,SÃO JORGE
61,BARRA MAR
62,SÃO BENEDITO
63,CIDADE UNIVERSITÁRIA
65,JARDIM TROPICAL
66,RODOVIA AL 101 NORTE
67,IPIOCA
68,PINHEIRO
69,PESCARIA
70,BARRA DA TIJUCA
71,ZONA RURAL
72,CANAA
